PassengerId,Survived,Sex,Age,Fare,Embarked,last_name,title,ticket_type,class_cabin,family_size
53,1,0,49.0,76.7292,0,243,3,10,31,1.0
54,1,0,29.0,26.0,2,186,3,9,72,1.0
55,0,1,65.0,61.9792,0,463,2,9,11,1.0
56,1,1,28.0,35.5,2,657,2,9,21,0.0
57,1,0,21.0,10.5,2,529,1,3,82,0.0
58,0,1,28.5,7.2292,0,444,2,9,83,0.0
59,1,0,5.0,27.75,2,644,1,3,72,3.0
60,0,1,11.0,46.9,2,224,0,3,43,7.0
61,0,1,22.0,7.2292,0,561,2,9,83,0.0
62,1,0,38.0,80.0,2,279,1,9,11,0.0
63,0,1,45.0,83.475,2,245,2,9,21,1.0
64,0,1,4.0,27.9,2,567,0,9,73,5.0
65,0,1,28.0,27.7208,0,587,2,10,71,0.0
66,1,1,28.0,15.2458,0,418,0,9,83,2.0
67,1,0,29.0,10.5,2,445,3,3,72,0.0
68,0,1,19.0,8.1583,2,132,2,25,83,0.0
69,1,0,17.0,7.925,2,16,1,9,83,6.0
70,0,1,26.0,8.6625,2,316,2,9,83,2.0
71,0,1,32.0,10.5,2,289,2,3,82,0.0
72,0,0,16.0,46.9,2,224,1,3,43,7.0
73,0,1,21.0,73.5,2,272,2,20,32,0.0
74,0,1,26.0,14.4542,0,112,2,9,83,1.0
75,1,1,32.0,56.4958,2,58,2,9,33,0.0
76,0,1,25.0,7.65,2,408,2,9,83,0.0
77,0,1,28.0,7.8958,2,582,2,9,83,0.0
78,0,1,28.0,8.05,2,420,2,9,83,0.0
79,1,1,0.83,29.0,2,88,0,9,72,2.0
80,1,0,30.0,12.475,2,166,1,9,83,0.0
81,0,1,22.0,9.0,2,634,2,9,83,0.0
82,1,1,29.0,9.5,2,550,2,9,83,0.0
83,1,0,28.0,7.7875,1,385,1,9,83,0.0
84,0,1,28.0,47.1,2,99,2,9,41,0.0
85,1,0,17.0,10.5,2,280,1,20,82,0.0
86,1,0,33.0,15.85,2,31,3,9,83,3.0
87,0,1,16.0,34.375,2,191,2,28,53,4.0
88,0,1,28.0,8.05,2,571,2,24,83,0.0
89,1,0,23.0,263.0,2,193,1,9,21,5.0
90,0,1,24.0,8.05,2,102,2,9,83,0.0
91,0,1,29.0,8.05,2,110,2,9,83,0.0
92,0,1,20.0,7.8542,2,17,2,9,83,0.0
93,0,1,46.0,61.175,2,103,2,29,41,1.0
94,0,1,26.0,20.575,2,153,2,3,73,3.0
95,0,1,59.0,7.25,2,131,2,9,83,0.0
96,0,1,28.0,8.05,2,553,2,9,83,0.0
97,0,1,71.0,34.6542,0,221,2,10,51,0.0
98,1,1,23.0,63.3583,0,228,2,10,31,1.0
99,1,0,34.0,23.0,2,162,3,9,72,1.0
100,0,1,34.0,26.0,2,303,2,9,72,1.0
101,0,0,28.0,7.8958,2,488,1,9,83,0.0
102,0,1,28.0,7.8958,2,489,2,9,83,0.0
103,0,1,21.0,77.2875,2,646,2,9,31,1.0
104,0,1,33.0,8.6542,2,295,2,9,83,0.0
105,0,1,37.0,7.925,2,231,2,9,83,2.0
106,0,1,28.0,7.8958,2,404,2,9,83,0.0
107,1,0,21.0,7.65,2,538,1,9,83,0.0
108,1,1,28.0,7.775,2,417,2,9,83,0.0
109,0,1,38.0,7.8958,2,505,2,9,83,0.0
110,1,0,28.0,24.15,1,413,1,9,73,1.0
111,0,1,47.0,52.0,2,498,2,9,21,0.0
112,0,0,14.5,14.4542,0,665,1,9,83,1.0
113,0,1,22.0,8.05,2,42,2,9,83,0.0
114,0,0,20.0,9.825,2,300,1,9,83,1.0
115,0,0,17.0,14.4583,0,27,1,9,83,0.0
116,0,1,21.0,7.925,2,479,2,26,83,0.0
117,0,1,70.5,7.75,1,126,2,9,83,0.0
118,0,1,29.0,21.0,2,621,2,9,72,1.0
119,0,1,24.0,247.5208,0,45,2,10,11,1.0
120,0,0,2.0,31.275,2,16,1,9,53,6.0
121,0,1,21.0,73.5,2,261,2,20,32,2.0
122,0,1,28.0,8.05,2,412,2,0,83,0.0
123,0,1,32.5,30.0708,0,430,2,9,72,1.0
124,1,0,32.5,13.0,2,640,1,9,42,0.0
125,0,1,54.0,77.2875,2,646,2,9,31,1.0
126,1,1,12.0,11.2417,0,438,0,9,83,1.0
127,0,1,28.0,7.75,1,391,2,9,83,0.0
128,1,1,24.0,7.1417,2,367,2,2,83,0.0
129,1,0,28.0,22.3583,0,486,1,9,43,2.0
130,0,1,45.0,6.975,2,176,2,9,83,0.0
131,0,1,33.0,7.8958,0,168,2,9,83,0.0
132,0,1,20.0,7.05,2,116,2,24,83,0.0
133,0,0,47.0,14.5,2,518,3,0,83,1.0
134,1,0,29.0,26.0,2,642,3,9,72,1.0
135,0,1,25.0,13.0,2,576,2,3,82,0.0
136,0,1,23.0,15.0458,0,510,2,18,82,0.0
137,1,0,19.0,26.2833,2,435,1,9,31,2.0
138,0,1,37.0,53.1,2,202,2,9,21,1.0
139,0,1,16.0,9.2167,2,461,2,9,83,0.0
140,0,1,24.0,79.2,0,212,2,10,11,0.0
141,0,0,28.0,15.2458,0,67,3,9,83,2.0
142,1,0,22.0,7.75,2,446,1,9,83,0.0
143,1,0,24.0,15.85,2,234,3,26,83,1.0
144,0,1,19.0,6.75,1,78,2,9,83,0.0
145,0,1,18.0,11.5,2,18,2,9,82,0.0
146,0,1,19.0,36.75,2,436,2,3,52,2.0
147,1,1,27.0,7.7958,2,16,2,9,83,0.0
148,0,0,9.0,34.375,2,191,1,28,53,4.0
149,0,1,36.5,26.0,2,432,2,9,72,2.0
150,0,1,42.0,13.0,2,83,2,9,82,0.0
151,0,1,51.0,12.525,2,43,2,21,82,0.0
152,1,0,22.0,66.6,2,477,3,9,21,1.0
153,0,1,55.5,8.05,2,397,2,0,83,0.0
154,0,1,40.5,14.5,2,623,2,0,83,2.0
155,0,1,28.0,7.3125,2,457,2,7,83,0.0
156,0,1,51.0,61.3792,0,653,2,10,31,1.0
157,1,0,16.0,7.7333,1,217,1,9,83,0.0
158,0,1,30.0,8.05,2,129,2,24,83,0.0
159,0,1,28.0,8.6625,2,574,2,9,83,0.0
160,0,1,28.0,69.55,2,536,0,3,33,10.0
161,0,1,44.0,16.1,2,133,2,9,83,1.0
162,1,0,40.0,15.75,2,639,3,3,82,0.0
163,0,1,26.0,7.775,2,53,2,9,83,0.0
164,0,1,17.0,8.6625,2,89,2,9,83,0.0
165,0,1,1.0,39.6875,2,468,0,9,53,5.0
166,1,1,9.0,20.525,2,222,0,9,73,2.0
167,1,0,28.0,55.0,2,108,3,9,41,1.0
168,0,0,45.0,27.9,2,567,3,9,73,5.0
169,0,1,28.0,25.925,2,44,2,10,71,0.0
170,0,1,28.0,56.4958,2,355,2,9,33,0.0
171,0,1,61.0,33.5,2,624,2,9,11,0.0
172,0,1,4.0,29.125,1,509,0,9,73,5.0
173,1,0,1.0,11.1333,2,296,1,9,83,2.0
174,0,1,21.0,7.925,2,564,2,26,83,0.0
175,0,1,56.0,30.6958,0,575,2,9,51,0.0
176,0,1,18.0,7.8542,2,320,2,9,83,2.0
177,0,1,28.0,25.4667,2,335,0,9,73,4.0
178,0,0,50.0,28.7125,0,282,1,10,21,0.0
179,0,1,30.0,13.0,2,235,2,9,82,0.0
180,0,1,36.0,0.0,2,342,2,8,83,0.0
181,0,0,28.0,69.55,2,536,1,3,33,10.0
182,0,1,28.0,15.05,0,483,2,18,82,0.0
183,0,1,9.0,31.3875,2,25,0,9,53,6.0
184,1,1,1.0,39.0,2,49,0,9,72,3.0
185,1,0,4.0,22.025,2,317,1,9,73,2.0
186,0,1,28.0,50.0,2,523,2,9,51,0.0
187,1,0,28.0,15.5,1,448,3,9,83,1.0
188,1,1,45.0,26.55,2,521,2,9,71,0.0
189,0,1,40.0,15.5,1,68,2,9,83,2.0
190,0,1,36.0,7.8958,2,618,2,9,83,0.0
191,1,0,32.0,13.0,2,495,3,9,82,0.0
192,0,1,19.0,13.0,2,95,2,9,82,0.0
193,1,0,19.0,7.8542,2,14,1,9,83,1.0
194,1,1,3.0,26.0,2,432,0,9,72,2.0
195,1,0,44.0,27.7208,0,76,3,10,11,0.0
196,1,0,58.0,146.5208,0,363,1,10,11,0.0
197,0,1,28.0,7.75,1,398,2,9,83,0.0
198,0,1,42.0,8.4042,2,457,2,9,83,1.0
199,1,0,28.0,7.75,1,365,1,9,83,0.0
200,0,0,24.0,13.0,2,664,1,9,82,0.0
201,0,1,28.0,9.5,2,628,2,9,83,0.0
202,0,1,28.0,69.55,2,536,2,3,33,10.0
203,0,1,34.0,6.4958,2,294,2,9,83,0.0
204,0,1,45.5,7.225,0,661,2,9,83,0.0
205,1,1,18.0,8.05,2,117,2,0,83,0.0
206,0,0,2.0,10.4625,2,592,1,9,83,1.0
207,0,1,32.0,15.85,2,31,2,9,83,1.0
208,1,1,26.0,18.7875,0,7,2,9,73,0.0
209,1,0,16.0,7.75,1,98,1,9,83,0.0
210,1,1,40.0,31.0,0,64,2,9,51,0.0
211,0,1,24.0,7.05,2,10,2,24,83,0.0
212,1,0,35.0,21.0,2,90,1,6,72,0.0
213,0,1,22.0,7.25,2,482,2,0,83,0.0
214,0,1,30.0,13.0,2,218,2,9,82,0.0
215,0,1,28.0,7.75,1,313,2,9,83,1.0
216,1,0,31.0,113.275,0,434,1,9,31,1.0
217,1,0,27.0,7.925,2,271,1,26,83,0.0
218,0,1,42.0,27.0,2,284,2,9,72,1.0
219,1,0,32.0,76.2917,0,46,1,9,31,0.0
220,0,1,30.0,10.5,2,245,2,28,82,0.0
221,1,1,16.0,8.05,2,593,2,24,83,0.0
222,0,1,27.0,13.0,2,71,2,9,82,0.0
223,0,1,51.0,8.05,2,226,2,9,83,0.0
224,0,1,28.0,7.8958,2,433,2,9,83,0.0
225,1,1,38.0,90.0,2,275,2,9,21,1.0
226,0,1,22.0,9.35,2,54,2,11,83,0.0
227,1,1,19.0,10.5,2,396,2,27,82,0.0
228,0,1,20.5,7.25,2,360,2,0,83,0.0
229,0,1,18.0,13.0,2,183,2,9,82,0.0
230,0,0,28.0,25.4667,2,335,1,9,73,4.0
231,1,0,35.0,83.475,2,245,3,9,21,1.0
232,0,1,29.0,7.775,2,332,2,9,83,0.0
233,0,1,59.0,13.5,2,566,2,9,82,0.0
234,1,0,5.0,31.3875,2,25,1,9,53,6.0
235,0,1,24.0,10.5,2,348,2,3,82,0.0
236,0,0,28.0,7.55,2,241,1,28,83,0.0
237,0,1,44.0,26.0,2,267,2,9,72,1.0
238,1,0,8.0,26.25,2,122,1,3,72,2.0
239,0,1,19.0,10.5,2,481,2,9,82,0.0
240,0,1,33.0,12.275,2,277,2,17,82,0.0
241,0,0,28.0,14.4542,0,665,1,9,83,1.0
242,1,0,28.0,15.5,1,424,1,9,83,1.0
243,0,1,29.0,10.5,2,119,2,28,82,0.0
244,0,1,22.0,7.125,2,368,2,26,83,0.0
245,0,1,30.0,7.225,0,27,2,9,83,0.0
246,0,1,44.0,90.0,1,402,2,9,21,2.0
247,0,0,25.0,7.775,2,350,1,9,83,0.0
248,1,0,24.0,14.5,2,236,3,9,82,2.0
249,1,1,37.0,52.5542,2,50,2,9,31,2.0
250,0,1,54.0,26.0,2,100,2,9,72,1.0
251,0,1,28.0,7.25,2,503,2,9,83,0.0
252,0,0,29.0,10.4625,2,592,3,9,83,2.0
253,0,1,62.0,26.55,2,585,2,9,21,0.0
254,0,1,30.0,16.1,2,356,2,0,83,1.0
255,0,0,41.0,20.2125,2,524,3,9,73,2.0
256,1,0,29.0,15.2458,0,614,3,9,83,2.0
257,1,0,28.0,79.2,0,604,3,10,21,0.0
258,1,0,30.0,86.5,2,107,1,9,11,0.0
259,1,0,35.0,512.3292,0,636,1,10,11,0.0
260,1,0,50.0,26.0,2,471,3,9,72,1.0
261,0,1,28.0,7.75,1,575,2,9,83,0.0
262,1,1,3.0,31.3875,2,25,0,9,53,6.0
263,0,1,52.0,79.65,2,599,2,9,41,2.0
264,0,1,40.0,0.0,2,246,2,9,11,0.0
265,0,0,28.0,7.75,1,258,1,9,83,0.0
266,0,1,36.0,10.5,2,504,2,3,82,0.0
267,0,1,16.0,39.6875,2,468,2,9,53,5.0
268,1,1,25.0,7.775,2,485,2,9,83,1.0
269,1,0,58.0,153.4625,2,225,3,10,21,1.0
270,1,0,35.0,135.6333,2,61,1,10,21,0.0
271,0,1,28.0,31.0,2,86,2,9,51,0.0
272,1,1,25.0,0.0,2,612,2,8,83,0.0
273,1,0,41.0,19.5,2,395,3,9,72,1.0
274,0,1,37.0,29.7,0,431,2,10,21,1.0
275,1,0,28.0,7.75,1,252,1,9,83,0.0
276,1,0,63.0,77.9583,2,19,1,9,31,1.0
277,0,0,45.0,7.75,2,351,1,9,83,0.0
278,0,1,28.0,0.0,2,469,2,9,82,0.0
279,0,1,7.0,29.125,1,509,0,9,73,5.0
280,1,0,35.0,20.25,2,1,3,3,73,2.0
281,0,1,65.0,7.75,1,170,2,9,83,0.0
282,0,1,28.0,7.8542,2,458,2,9,83,0.0
283,0,1,16.0,9.5,2,152,2,9,83,0.0
284,1,1,19.0,8.05,2,164,2,0,83,0.0
285,0,1,28.0,26.0,2,575,2,9,51,0.0
286,0,1,33.0,8.6625,0,583,2,9,83,0.0
287,1,1,30.0,9.5,2,151,2,9,83,0.0
288,0,1,22.0,7.8958,2,426,2,9,83,0.0
289,1,1,42.0,13.0,2,274,2,9,82,0.0
290,1,0,22.0,7.75,1,125,1,9,83,0.0
291,1,0,26.0,78.85,2,40,1,9,21,0.0
292,1,0,19.0,91.0792,0,60,3,9,11,1.0
293,0,1,36.0,12.875,0,346,2,19,32,0.0
294,0,0,24.0,8.85,2,232,1,9,83,0.0
295,0,1,24.0,7.8958,2,403,2,9,83,0.0
296,0,1,28.0,27.7208,0,347,2,10,71,0.0
297,0,1,23.5,7.2292,0,238,2,9,83,0.0
298,0,0,2.0,151.55,2,12,1,9,21,3.0
299,1,1,28.0,30.5,2,534,2,9,21,0.0
300,1,0,50.0,247.5208,0,45,3,10,11,1.0
301,1,0,28.0,7.75,1,310,1,9,83,0.0
302,1,1,28.0,23.25,1,384,2,9,73,2.0
303,0,1,19.0,0.0,2,296,2,8,83,0.0
304,1,0,28.0,12.35,1,308,1,9,42,0.0
305,0,1,28.0,8.05,2,653,2,0,83,0.0
306,1,1,0.92,151.55,2,12,0,9,21,3.0
307,1,0,28.0,110.8833,0,188,1,9,11,0.0
308,1,0,17.0,108.9,0,480,3,10,21,1.0
309,0,1,30.0,24.0,0,2,2,12,72,1.0
310,1,0,30.0,56.9292,0,195,1,10,41,0.0
311,1,0,24.0,83.1583,0,251,1,9,21,0.0
312,1,0,18.0,262.375,0,532,1,10,11,4.0
313,0,0,26.0,26.0,2,325,3,9,72,2.0
314,0,1,28.0,7.8958,2,257,2,9,83,0.0
315,0,1,43.0,26.25,2,247,2,6,72,2.0
316,1,0,26.0,7.8542,2,439,1,9,83,0.0
317,1,0,24.0,26.0,2,303,3,9,72,1.0
318,0,1,54.0,14.0,2,414,2,9,82,0.0
319,1,0,31.0,164.8667,2,647,1,9,21,2.0
320,1,0,40.0,134.5,0,579,3,9,41,2.0
321,0,1,22.0,7.25,2,156,2,0,83,0.0
322,0,1,27.0,7.8958,2,144,2,9,83,0.0
323,1,0,30.0,12.35,1,569,1,9,82,0.0
324,1,0,22.0,29.0,2,88,3,9,72,2.0
325,0,1,28.0,69.55,2,536,2,3,33,10.0
326,1,0,36.0,135.6333,0,660,1,10,21,0.0
327,0,1,61.0,6.2375,2,447,2,9,83,0.0
328,1,0,36.0,13.0,2,36,3,9,32,0.0
329,1,0,31.0,20.525,2,222,3,9,73,2.0
330,1,0,16.0,57.9792,0,262,1,9,11,1.0
331,1,0,28.0,23.25,1,384,1,9,73,2.0
332,0,1,45.5,28.5,2,472,2,9,21,0.0
333,0,1,38.0,153.4625,2,225,2,10,21,1.0
334,0,1,16.0,18.0,2,631,2,9,73,2.0
335,1,0,28.0,133.65,2,196,3,10,11,1.0
336,0,1,28.0,7.8958,2,155,2,9,83,0.0
337,0,1,29.0,66.6,2,477,2,9,21,1.0
338,1,0,41.0,134.5,0,79,1,9,41,0.0
339,1,1,45.0,8.05,2,138,2,9,83,0.0
340,0,1,45.0,35.5,2,63,2,9,61,0.0
341,1,1,2.0,26.0,2,432,0,9,72,2.0
342,1,0,24.0,263.0,2,193,1,9,21,5.0
343,0,1,28.0,13.0,2,120,2,9,82,0.0
344,0,1,25.0,13.0,2,546,2,9,82,0.0
345,0,1,36.0,13.0,2,194,2,9,82,0.0
346,1,0,24.0,13.0,2,76,1,9,72,0.0
347,1,0,40.0,13.0,2,575,1,9,82,0.0
348,1,0,28.0,16.1,2,149,3,9,83,1.0
349,1,1,3.0,15.9,2,130,0,3,83,2.0
350,0,1,42.0,8.6625,2,159,2,9,83,0.0
351,0,1,23.0,9.225,2,455,2,9,83,0.0
352,0,1,28.0,35.0,2,654,2,9,21,0.0
353,0,1,15.0,7.2292,0,177,2,9,83,2.0
354,0,1,25.0,17.8,2,22,2,9,73,1.0
355,0,1,28.0,7.225,0,662,2,9,83,0.0
356,0,1,28.0,9.5,2,629,2,9,83,0.0
357,1,0,22.0,55.0,2,70,1,9,41,1.0
358,0,0,38.0,13.0,2,201,1,9,82,0.0
359,1,0,28.0,7.8792,1,388,1,9,83,0.0
360,1,0,28.0,7.8792,1,407,1,9,83,0.0
361,0,1,40.0,27.9,2,567,2,9,73,5.0
362,0,1,29.0,27.7208,0,154,2,18,72,1.0
363,0,0,45.0,14.4542,0,39,3,9,83,1.0
364,0,1,35.0,7.05,2,24,2,24,83,0.0
365,0,1,28.0,15.5,1,448,2,9,83,1.0
366,0,1,30.0,7.25,2,3,2,2,83,0.0
367,1,0,60.0,75.25,0,637,3,9,31,1.0
368,1,0,28.0,7.2292,0,419,3,9,83,0.0
369,1,0,28.0,7.75,1,291,1,9,83,0.0
370,1,0,24.0,69.3,0,28,3,10,11,0.0
371,1,1,25.0,55.4417,0,240,2,9,41,1.0
372,0,1,18.0,6.4958,2,650,2,9,83,1.0
373,0,1,19.0,8.05,2,48,2,9,83,0.0
374,0,1,22.0,135.6333,0,513,2,10,11,0.0
375,0,0,3.0,21.075,2,467,1,9,73,4.0
376,1,0,28.0,82.1708,0,399,3,10,21,1.0
377,1,0,22.0,7.25,2,329,1,2,83,0.0
378,0,1,27.0,211.5,0,649,2,9,21,2.0
379,0,1,20.0,4.0125,0,56,2,9,83,0.0
380,0,1,19.0,7.775,2,231,2,9,83,0.0
381,1,0,42.0,227.525,0,57,1,10,11,0.0
382,1,0,1.0,15.7417,0,428,1,9,83,2.0
383,0,1,32.0,7.925,2,606,2,26,83,0.0
384,1,0,35.0,52.0,2,269,3,9,31,1.0
385,0,1,28.0,7.8958,2,496,2,9,83,0.0
386,0,1,18.0,73.5,2,147,2,20,32,0.0
387,0,1,1.0,46.9,2,224,0,3,43,7.0
388,1,0,36.0,13.0,2,80,1,9,82,0.0
389,0,1,28.0,7.7292,1,535,2,9,83,0.0
390,1,0,17.0,12.0,0,336,1,13,82,0.0
391,1,1,36.0,120.0,2,100,2,9,11,3.0
392,1,1,21.0,7.7958,2,286,2,9,83,0.0
393,0,1,28.0,7.925,2,231,2,9,83,2.0
394,1,0,23.0,113.275,0,434,1,9,31,1.0
395,1,0,24.0,16.7,2,541,3,11,83,2.0
396,0,1,22.0,7.7958,2,295,2,9,83,0.0
397,0,0,31.0,7.8542,2,458,1,9,83,0.0
398,0,1,46.0,26.0,2,390,2,9,72,0.0
399,0,1,23.0,10.5,2,466,2,9,82,0.0
400,1,0,28.0,12.65,2,616,3,9,82,0.0
401,1,1,39.0,7.925,2,441,2,26,83,0.0
402,0,1,26.0,8.05,2,4,2,9,83,0.0
403,0,0,21.0,9.825,2,300,1,9,83,1.0
404,0,1,28.0,15.85,2,234,2,26,83,1.0
405,0,0,20.0,8.6625,2,460,1,9,83,0.0
406,0,1,34.0,21.0,2,204,2,9,72,1.0
407,0,1,51.0,7.75,2,648,2,9,83,0.0
408,1,1,3.0,18.75,2,511,0,9,72,2.0
409,0,1,21.0,7.775,2,59,2,9,83,0.0
410,0,0,28.0,25.4667,2,335,1,9,73,4.0
411,0,1,28.0,7.8958,2,545,2,9,83,0.0
412,0,1,28.0,6.8583,1,247,2,9,83,0.0
413,1,0,33.0,90.0,1,402,1,9,21,1.0
414,0,1,28.0,0.0,2,137,2,9,82,0.0
415,1,1,44.0,7.925,2,594,2,26,83,0.0
416,0,0,28.0,8.05,2,394,3,9,83,0.0
417,1,0,34.0,32.5,2,169,3,9,52,2.0
418,1,0,18.0,13.0,2,555,1,9,82,2.0
419,0,1,30.0,13.0,2,380,2,9,82,0.0
420,0,0,10.0,24.15,2,625,1,9,73,2.0
421,0,1,28.0,7.8958,0,211,2,9,83,0.0
422,0,1,21.0,7.7333,1,106,2,0,83,0.0
423,0,1,29.0,7.875,2,666,2,9,83,0.0
424,0,0,28.0,14.4,2,142,3,9,83,2.0
425,0,1,18.0,20.2125,2,524,2,9,73,2.0
426,0,1,28.0,7.25,2,656,2,0,83,0.0
427,1,0,28.0,26.0,2,113,3,9,72,1.0
428,1,0,19.0,26.0,2,493,1,9,72,0.0
429,0,1,28.0,7.75,1,189,2,9,83,0.0
430,1,1,32.0,8.05,2,494,2,24,43,0.0
431,1,1,28.0,26.55,2,62,2,9,21,0.0
432,1,0,28.0,16.1,2,605,3,9,83,1.0
433,1,0,42.0,26.0,2,359,3,15,72,1.0
434,0,1,17.0,7.125,2,301,2,26,83,0.0
435,0,1,50.0,55.9,2,557,2,9,41,1.0
436,1,0,14.0,120.0,2,100,1,9,11,3.0
437,0,0,21.0,34.375,2,191,1,28,53,4.0
438,1,0,24.0,18.75,2,511,3,9,72,5.0
439,0,1,64.0,263.0,2,193,2,9,21,5.0
440,0,1,31.0,10.5,2,323,2,3,82,0.0
441,1,0,45.0,26.25,2,247,3,6,72,2.0
442,0,1,20.0,9.5,2,237,2,9,83,0.0
443,0,1,25.0,7.775,2,490,2,9,83,1.0
444,1,0,28.0,13.0,2,508,1,9,82,0.0
445,1,1,28.0,8.1125,2,293,2,9,83,0.0
446,1,1,4.0,81.8583,2,160,0,9,51,2.0
447,1,0,13.0,19.5,2,395,1,9,72,1.0
448,1,1,34.0,26.55,2,548,2,9,71,0.0
449,1,0,5.0,19.2583,0,32,1,9,73,3.0
450,1,1,52.0,30.5,2,492,2,9,21,0.0
451,0,1,36.0,27.75,2,644,2,3,72,3.0
452,0,1,28.0,19.9667,2,233,2,9,73,1.0
453,0,1,30.0,27.75,0,192,2,9,21,0.0
454,1,1,49.0,89.1042,0,220,2,9,21,1.0
455,0,1,28.0,8.05,2,478,2,0,83,0.0
456,1,1,29.0,7.8958,0,285,2,9,83,0.0
457,0,1,65.0,26.55,2,400,2,9,41,0.0
458,1,0,28.0,51.8625,2,312,3,9,31,1.0
459,1,0,50.0,10.5,2,610,1,6,82,0.0
460,0,1,28.0,7.75,1,450,2,9,83,0.0
461,1,1,48.0,26.55,2,15,2,9,41,0.0
462,0,1,34.0,8.05,2,415,2,9,83,0.0
463,0,1,47.0,38.5,2,210,2,9,41,0.0
464,0,1,48.0,13.0,2,401,2,9,82,0.0
465,0,1,28.0,8.05,2,370,2,1,83,0.0
466,0,1,38.0,7.05,2,223,2,24,83,0.0
467,0,1,28.0,0.0,2,91,2,9,82,0.0
468,0,1,56.0,26.55,2,573,2,9,71,0.0
469,0,1,28.0,7.725,1,544,2,9,83,0.0
470,1,0,0.75,19.2583,0,32,1,9,73,3.0
471,0,1,28.0,7.25,2,309,2,9,83,0.0
472,0,1,38.0,8.6625,2,85,2,9,83,0.0
473,1,0,33.0,27.75,2,644,3,3,72,3.0
474,1,0,23.0,13.7917,0,292,3,16,32,0.0
475,0,0,22.0,9.8375,2,590,1,9,83,0.0
476,0,1,28.0,52.0,2,115,2,9,51,0.0
477,0,1,34.0,21.0,2,506,2,9,72,1.0
478,0,1,29.0,7.0458,2,73,2,9,83,1.0
479,0,1,22.0,7.5208,2,305,2,9,83,0.0
480,1,0,2.0,12.2875,2,263,1,9,83,1.0
481,0,1,9.0,46.9,2,224,0,3,43,7.0
482,0,1,28.0,0.0,2,199,2,9,82,0.0
483,0,1,50.0,8.05,2,528,2,0,83,0.0
484,1,0,63.0,9.5875,2,620,3,9,83,0.0
485,1,1,25.0,91.0792,0,60,2,9,11,1.0
486,0,0,28.0,25.4667,2,335,1,9,73,4.0
487,1,0,35.0,90.0,2,275,3,9,21,1.0
488,0,1,58.0,29.7,0,311,2,9,11,0.0
489,0,1,30.0,8.05,2,578,2,0,83,0.0
490,1,1,9.0,15.9,2,130,0,3,83,2.0
491,0,1,28.0,19.9667,2,233,2,9,73,1.0
